id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
5bfb1ec0512511bd22e1bf2f254ca81f,Link Group,100.0,Kraków,Python,mid,22000.0,29000.0,,
8fa6237a5a060886969c92c40a03e1d0,Link Group,100.0,Katowice,Python,mid,22000.0,29000.0,,
2007c9732dfdca3886159998df9fe690,Link Group,100.0,Warszawa,C#,senior,,,30000.0,40000.0
d8fccc479de7039201050b21f077db8a,Link Group,100.0,Katowice,C#,senior,,,30000.0,40000.0
677f9dcf2a3b0e484410df669b31db96,Link Group,100.0,Kraków,C#,senior,,,30000.0,40000.0
9fe5fe24ff5e6260ed3ce8eefbe39000,Link Group,100.0,Gdańsk,C#,senior,,,30000.0,40000.0
a1be0d3dadba26f2c7c5eae9791142ec,Link Group,100.0,Wrocław,C#,senior,,,30000.0,40000.0
234d6cba67407e1df0bf95e1c070da0c,Link Group,100.0,Remote,Java,senior,,,25200.0,31920.0
503a0219043c27566c5f94fcdb1bec37,Link Group,100.0,Remote,Java,mid,,,16800.0,20160.0
839f1429e7e98b57aaf72de66db62394,Link Group,100.0,Kraków,Java,senior,,,21840.0,27720.0
cf521289c8764acdf0e0b12decf41fb2,Link Group,100.0,Remote,,senior,,,36960.0,42000.0
61f26f8b70d07012853f440a1cf52078,Link Group,100.0,Kraków,C/C++,mid,8000.0,16000.0,,
43f4e1da2cdf6976e5634f2f07c59390,Link Group,100.0,Warszawa,Scala,mid,18000.0,23000.0,20000.0,25000.0
2baa573791be5c602c9a8905168d5c9f,Link Group,100.0,Remote,C#,mid,15000.0,20000.0,15000.0,20000.0
9480f2f5d7796aba05c560037b0e3a53,Link Group,100.0,Warszawa,Java,junior,,,10080.0,14280.0
a067ee20d2c528ef6b953bbd00ea15e1,Link Group,100.0,Łódź,Java,junior,,,10080.0,14280.0
000c32e67df8ff022404e5347b3be35d,Link Group,100.0,Kraków,PHP,senior,25000.0,28000.0,,
095b579279d3bbb79275674d089c59af,Link Group,100.0,Kraków,Python,senior,25000.0,31000.0,,
d68e4bc9d3032957252070bcfa2d6849,Link Group,100.0,Remote,Java,senior,,,26880.0,35280.0
5c98c26dc8b01891386fcd46de2787b4,Link Group,100.0,Remote,Golang,senior,20000.0,27000.0,20000.0,27000.0
76db32005818dd90781799b788fa9fba,Link Group,100.0,Warszawa,C#,senior,15000.0,25000.0,,
c32e8dae1b16d37e4dbd05b74c9011ba,Link Group,100.0,Gdańsk,C#,senior,15000.0,25000.0,,
3fcae6a99277de4012bba51b6ca1d7c4,Link Group,100.0,Kraków,C#,senior,15000.0,25000.0,,
03a0178c41756a63df2d170b53e43f20,Link Group,100.0,Wrocław,C#,senior,15000.0,25000.0,,
5c7905a91c124675b5c8a33512ede169,Link Group,100.0,Remote,Python,mid,,,13440.0,16800.0
e0e9b47fe5cdb63720b64abce5bee27e,Link Group,100.0,Remote,C#,senior,,,17000.0,21000.0
9e4d47bf97f90203c12bb9f98fcb3f51,Link Group,100.0,Kraków,JavaScript,mid,,,20160.0,29904.0
9c826130241c8a1764e6cde92704196f,Link Group,100.0,Remote,Java,mid,,,13440.0,16800.0
24b2aa250a7b5c3b71de392cd9b6046e,Link Group,100.0,Remote,PHP,junior,,,11500.0,15000.0
c8cec16482763706007367e75e612bb4,Link Group,100.0,Remote,Java,mid,,,16800.0,26880.0
eea2ad7972f89cfc8fba1df8debecd36,Link Group,100.0,Warszawa,Python,senior,35000.0,42000.0,35000.0,42000.0
e3356bf01f4b79cb43b4d0f2330fa5d9,Link Group,100.0,Warszawa,Java,expert,34000.0,38000.0,34000.0,38000.0
1ccac090981c078808357de1b071a9ee,Avenga,1000.0,Remote,Python,mid,,,20160.0,25200.0
f76148e72433f34bbdfb2275dde642fa,Avenga,1000.0,Warszawa,JavaScript,senior,,,23520.0,28560.0
f3633e7da79187b736512556fabb7d19,Avenga,1000.0,Remote,Python,senior,,,27720.0,30240.0
f455fed0f906d1bc3616164d3dcbfcbb,Avenga,1000.0,Remote,Java,expert,,,25200.0,30200.0
8c79c3690fd1533b0e2a6c97675f8507,Avenga,1000.0,Remote,JavaScript,senior,,,25200.0,29400.0
4db83065bb189d66e905181bf3aa7d09,Avenga,1000.0,Remote,Ruby,senior,,,27300.0,29300.0
902c07324ae761d87e4ee41c12d5162c,Avenga,1000.0,Warszawa,JavaScript,senior,,,28560.0,33600.0
602e01db9bfcc980bac7c1fc323a90a2,Avenga,1000.0,Wrocław,C/C++,mid,19000.0,21000.0,26040.0,27720.0
478749ad4a2040ea68cae62baa4c0e73,Avenga,1000.0,Remote,Python,senior,,,26880.0,29400.0
3bebfa7b5457f29120e2653a34957dc6,Avenga,1000.0,Remote,C/C++,senior,,,26880.0,30240.0
9877abae61c5393d36f320a3017663a7,Avenga,1000.0,Remote,Python,senior,,,26040.0,27720.0
21141f3459929afd17ef7904e661f6f7,Avenga,1000.0,Remote,JavaScript,senior,,,23520.0,28560.0
ae7c3225e897c6db9a89f49eee6370b7,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,29400.0
332905ffdde39b108870fe8d6ec3c6d1,Avenga,1000.0,Wrocław,JavaScript,senior,,,24700.0,27700.0
390c464fabf430f12f752fa9dd509e69,Avenga,1000.0,Kraków,Java,senior,16500.0,21000.0,21840.0,27720.0
55310f53fd30c050884d917bbbd21994,Avenga,1000.0,Remote,Java,mid,,,21840.0,25200.0
2f150ed5b609f884ae6a022dee8a816d,Avenga,1000.0,Remote,Java,senior,,,28560.0,31920.0
9ce5a0836f2603dc1f9950913a89c8a8,Avenga,1000.0,Gdańsk,Java,mid,,,18480.0,25200.0
fee45dc2d6047efe865c6a9b8cf9e470,Avenga,1000.0,Warszawa,Java,mid,,,18480.0,25200.0
e43d4be97f83acef0eb97826c6f3ce02,Avenga,1000.0,Remote,Python,senior,,,25200.0,30240.0
18c02731e9a3ff775efec8421f1db6f0,Avenga,1000.0,Remote,Java,mid,,,18480.0,22680.0
3280c7a741bf6fc802031a137b7acecd,Avenga,1000.0,Łódź,JavaScript,mid,,,20160.0,23520.0
ee2f00c317e887ab5f190567a23df119,Ework Group,10.0,Warszawa,Java,mid,,,21840.0,26880.0
4ecb4fade5c8bf9a517b0a9547d0ec2b,Ework Group,10.0,Łódź,C#,mid,,,20160.0,25200.0
1d6ff0e24228101fb71834e7579deed1,Ework Group,10.0,Remote,JavaScript,senior,,,31248.0,36624.0
8e984aaef78bd9899c45a0c22189aa2e,Ework Group,10.0,Warszawa,Java,senior,,,23520.0,27720.0
9afc820ae5785ba4a32fff91501570bf,Ework Group,10.0,Gdańsk,Java,senior,,,23520.0,27720.0
49289d697ae39e97df8aab0f711fc5b1,Ework Group,10.0,Warszawa,JavaScript,mid,,,25200.0,28560.0
af0d10d69fd2b8bcfc1927fd4a14fbed,N-iX,1000.0,Remote,JavaScript,senior,17440.0,22672.0,20928.0,26160.0
544fdf7945ec63a92165adc5416668fe,N-iX,1000.0,Remote,JavaScript,mid,14824.0,17440.0,17876.0,20492.0
5aa50aff8fd808f42f95de7cb012c603,N-iX,1000.0,Remote,Java,expert,,,34880.0,41420.0
5037dccd12fe358de8fbe95d435530c5,N-iX,1000.0,Remote,Python,senior,21800.0,34880.0,26160.0,39240.0
ed7deefb2fd60fe1d51c125561f7ddb5,N-iX,1000.0,Remote,Java,senior,22672.0,25942.0,25288.0,29648.0
cb4c93de695a0ab84d6e009d143b5bf3,N-iX,1000.0,Remote,Java,senior,,,26160.0,30520.0
277956f549702db9c22f21e2bd52d40c,N-iX,1000.0,Kraków,Mobile,expert,26160.0,30084.0,28340.0,33572.0
1ebc5b6ca25872f9bc84fee211acc3fd,N-iX,1000.0,Remote,JavaScript,mid,16000.0,16572.0,19000.0,19865.0
4c87617b74dffc2350a622ad75fe908c,N-iX,1000.0,Remote,Python,senior,22672.0,38368.0,26160.0,43600.0
73bcfd6cd5a4fbd06a2347e1960163d6,Appfire,1000.0,Remote,Java,senior,23500.0,35000.0,,
2d97f8255bc884d299cd569b37d6a96d,Appfire,1000.0,Remote,JavaScript,expert,35000.0,42000.0,,
7d8893fd8caf284297e9fa5ead4593bb,Appfire,1000.0,Remote,Java,senior,17000.0,24500.0,,
e51990880fbea03f12d9aad81c0fb957,Appfire,1000.0,Remote,JavaScript,expert,23500.0,35000.0,,
7730bd4f596447a55a5c03f97168b041,Appfire,1000.0,Remote,JavaScript,mid,10000.0,15000.0,,
2fea4c50c05a0e03a6d579b388e98777,Appfire,1000.0,Remote,JavaScript,senior,23000.0,33000.0,,
f6bc2696afb1b545ad6faf50b59affc1,Appfire,1000.0,Remote,JavaScript,senior,20000.0,24000.0,,
bf2ac75c93d256223b79e3876a909f86,Appfire,1000.0,Remote,JavaScript,mid,20000.0,24000.0,,
15b24e46e19b8ea0bc352f8de9533860,Appfire,1000.0,Remote,JavaScript,mid,16000.0,20000.0,,
01db3e3468da3b662d1bd19053056c83,Sii Poland,10000.0,Remote,Java,senior,14000.0,17500.0,21000.0,26250.0
ea01c4da66f86d4be787969ebb1eb84a,Sii Poland,10000.0,Remote,C/C++,senior,13000.0,18500.0,16800.0,22050.0
32da366925db0e80b7497847ea527783,Sii Poland,10000.0,Remote,Java,mid,15000.0,18500.0,21000.0,26250.0
e6781a959ef6dda17339296034ca1e56,Sii Poland,10000.0,Kraków,Java,mid,,,14700.0,29400.0
1118fb40f3cdd9b50f157a65b527a85c,Sii Poland,10000.0,Remote,Java,mid,9000.0,18000.0,14700.0,29400.0
08f03075334eb91dff2b45705f66067d,HSBC Technology Poland,1000.0,Kraków,Java,senior,15000.0,22000.0,,
60ad2eea1ec3ee1549b249503aeaafb5,HSBC Technology Poland,1000.0,Remote,Java,senior,20000.0,23000.0,,
bce2f1b69b0023782a00c63d97533bc5,HSBC Technology Poland,1000.0,Kraków,Mobile,senior,27000.0,30000.0,,
2323b03a02bff88ad855a4634bc6dec2,HSBC Technology Poland,1000.0,Kraków,Scala,senior,18000.0,25000.0,,
02db58824fd37c4b48fb1c742dba9c30,Box,1000.0,Warszawa,Java,senior,30000.0,35000.0,,
82a117de2c240c12c02102560b7d1437,Mindbox,100.0,Warszawa,Java,senior,,,29400.0,35700.0
649966b95dfed45417a8e9ff85de2d8c,Mindbox,100.0,Warszawa,Java,expert,,,33600.0,42000.0
6c0593a9fa3f2a3c4768b27615f5fd59,Mindbox,100.0,Warszawa,Java,senior,,,27300.0,33600.0
92b7fdf0eaf822fdf521ecaf145961db,Mindbox,100.0,Kraków,Java,senior,,,25200.0,35700.0
3a1015749eb8355e6d0edb365663d05b,Mindbox,100.0,Warszawa,JavaScript,senior,,,27300.0,33600.0
3df229b97221d3dbbda46c0ecd16cba7,Mindbox,100.0,Remote,Java,senior,,,27300.0,33600.0
b1ed3fbcce9047fab4d1c746dd38b143,Objectivity - part of Accenture,1000.0,Remote,JavaScript,mid,10000.0,17500.0,15960.0,26880.0
823585d5ea1535cbf4e43b58b4c8d232,Objectivity - part of Accenture,1000.0,Remote,C#,mid,10000.0,14000.0,15960.0,21840.0
6f17e0e96f47045a78b917aa6da4cf10,Objectivity - part of Accenture,1000.0,Remote,C#,senior,12500.0,18000.0,20160.0,27720.0
0073964219f4b15a8a671660b5f7e895,Objectivity - part of Accenture,1000.0,Remote,Java,mid,10000.0,17500.0,15960.0,26880.0
c0234ba62ea2fac8da6440bd1a14f492,Hitachi Energy,10000.0,Kraków,C#,mid,20000.0,28000.0,,
7d35115c69cef5dc2216b5ed224beac3,Hitachi Energy,10000.0,Kraków,JavaScript,mid,15000.0,22000.0,,
ec670b52446eb7f3f318a66bef4154ae,Hitachi Energy,10000.0,Kraków,JavaScript,mid,12000.0,23000.0,,
1735311de313cc4c5525a886d36e9a03,Hitachi Energy,10000.0,Kraków,C#,mid,15000.0,18000.0,,
f61a0087129238b4fae43746cae95cef,Hitachi Energy,10000.0,Kraków,C#,senior,15000.0,18000.0,,
